Year	ContigN50
2019	2.48
2019	11840.00
2020	773.17
2019	5500.00
2013	58.86
2019	539.20
2017	93.00
2013	4.51
2020	315.00
2020	194.00
2019	39.23
2018	5.00
2020	2260.00
2017	1250.00
2016	32.80
2014	1.88
2020	2540.00
2019	1700.00
2013	29.30
2018	2760.00
2020	9700.00
2019	427.00
2015	126.50
2019	17.04
2020	5140.00
2018	388.86
2020	4019.00
2020	1700.00
2020	1800.00
2020	155.50
2020	796.00
2019	730.00
2020	790.58
2020	13.00
2017	80.10
2014	14.60
2020	1100.00
2018	110.90
2020	2200.00
2020	60.63
2011	227.40
2018	12300.00
2016	29.60
2019	1510.00
2019	1500.00
2019	211.00
2018	8.07
2018	106.66
2020	1270.00
2020	6.25
2020	43.65
2018	18.95
2019	17.00
2019	27.00
2016	2.32
2017	88.17
2020	1370.00
2017	23.90
2020	1114.00
2019	8.38
2019	4310.37
2019	1314.22
2020	44.84
2020	8.80
2012	0.74
2018	964.70
2017	14.30
2018	29.00
2019	271.00
2019	176.00
2014	26.50
2012	5.08
2019	3.71
2019	4.09
2015	11.20
2019	1.88
2018	85.29
2018	22.62
2017	3.70
2018	1000.00
2019	24.04
2020	4.25
2020	5000.00
2020	1545.00
2020	1224.00
2020	1096.00
2020	2021.00
2020	1254.00
2020	2734.00
2020	1084.00
2020	1215.00
2020	1211.00
2020	1281.00
2020	1376.00
2020	1207.00
2020	1276.00
2020	1182.00
2020	1334.00
2020	1092.00
2020	1218.00
2020	1643.00
2020	1954.00
2020	1478.00
2020	1072.00
2020	1261.00
2020	1680.00
2020	1296.00
2020	1307.00
2020	2292.00
2020	3037.00
2020	1952.00
2020	1062.00
2020	1210.00
2020	1342.00
2020	1064.00
2020	2312.00
2020	1531.00
2020	1490.00
2020	1621.00
2020	1091.00
2020	1249.00
2020	1401.00
2020	1307.00
2020	1998.00
2020	1137.00
2020	1692.00
2020	1544.00
2020	1228.00
2020	2269.00
2020	2759.00
2020	1409.00
2020	2304.00
2020	983.00
2020	1171.00
2020	1243.00
2020	1686.00
2020	1334.00
2020	1254.00
2020	1982.00
2020	1807.00
2000-2010	347.80
2020	1120.00
2020	89000.00
2020	20949.00
2020	1545.00
2020	1555.00
2020	2040.00
2020	3672.00
2020	3144.00
2020	294.00
2020	25.90
2020	5700.00
2016	61.00
2020	1640.00
2019	44.00
2017	197.00
2014	38.90
2020	1480.00
2016	31.00
2019	2110.00
2018	9500.00
2014	26.90
2020	2830.00
2020	2820.00
2018	5520.00
2018	1450.00
2011	27.29
2019	171.17
2020	24.00
2011	21.95
2018	99.30
2020	7500.00
2017	48.58
2019	2.15
2020	38.70
2014	32.17
2020	271.33
2020	600.46
2018	67.07
2017	20.00
2017	107.00
2020	187.00
2020	513.57
2017	37.96
2013	10.30
2013	134.10
2017	30.00
2014	55.40
2014	52.00
2014	30.00
2017	39.00
2017	50.30
2014	27.90
2000-2010	11.00
2017	20.40
2017	434.70
2020	35.32
2016	0.37
2019	101.58
2019	77.23
2019	6.01
2020	2830.00
2019	944.00
2018	466.70
2018	41.00
2019	324.00
2017	18.18
2020	1820.00
2020	64.68
2020	1560.00
2020	1560.00
2018	13.00
2018	15.00
2018	10.12
2019	236.00
2017	268.00
2017	1663.34
2016	14.51
2017	27.41
2020	2190.00
2020	2300.00
2016	25.01
2016	22.72
2016	9.53
2016	16.31
2014	35.10
2015	11.14
2017	2592.96
2000-2010	27.60
2019	43.06
2018	130.70
2013	23.54
2016	23.20
2018	900.00
2019	2300.00
2019	36.70
2012	26.38
2017	2200.00
2019	2210.00
2017	76.60
2017	46.50
2018	24.70
2012	49.89
2014	119.00
2020	1420.00
2019	1.51
2017	72.64
2020	89.00
2020	21.45
2018	12.18
2014	14.80
2018	204.06
2019	2240.00
2020	3190.00
2020	400.00
2020	1680.00
2014	20.80
2017	45.58
2017	16.60
2017	40.22
2019	604.00
2020	8.26
2020	78.80
2020	2070.00
2020	1980.00
2020	4690.00
2019	136.39
2020	3450.00
2020	714.00
2019	2860.00
2012	18.20
2019	858.00
2019	8900.00
2000-2010	19.80
2019	463.39
2017	40.70
2017	40.50
2017	110.10
2018	3630.00
2018	48.81
2020	2.44
2015	4.90
2016	17.50
2019	930.00
2018	89.56
2020	5920.00
2018	89.00
2018	4.19
2020	1354.00
2016	33.10
2014	25.12
2020	341.00
2013	16644.00
2020	1730.00
2020	83.70
2017	26.04
2020	35.00
2015	4500.00
2020	3200.00
2020	133.90
2020	2920.00
2019	890.84
2020	4.69
2018	1.87
2016	82.65
2020	705.00
2018	36.00
2017	7.21
2020	1570.00
2020	930.00
2020	1870.00
2018	313.81
2013	9.37
2013	8.45
2019	32.40
2016	8.26
2014	8.70
2019	791.00
2020	520.00
2020	1550.00
2014	0.83
2017	18.80
2020	1680.00
2014	20.76
2020	5020.00
2020	196.00
2019	7.21
2020	1500.00
2019	7.47
2019	4.16
2020	2550.00
2020	7280.00
2020	4770.00
2020	1730.00
2020	1290.00
2020	986.00
2020	1990.00
2020	636.00
2014	67.20
2020	4250.00
2020	1010.00
2020	4000.00
2020	3230.00
2020	2492.00
2020	5260.00
2020	2400.00
2020	5220.00
2020	3430.00
2020	11100.00
2020	653.00
2020	13160.00
2017	17.06
2018	377.36
2018	564.04
2020	4750.00
2018	74.65
2018	32.56
2017	550.70
2018	42.00
2019	823.00
2017	0.24
2020	492.00
2020	908.00
2018	1.89
2020	29.70
2020	7300.00
2019	10700.00
2014	3.31
2020	4000.00
2020	8510.00
2014	1.28
2020	2600.00
2014	1.29
2014	0.72
2017	7900.00
2020	3500.00
2019	80.00
2014	2.20
2020	7.31
2020	4.58
2020	3.26
2020	3.95
2020	4.35
2020	9.66
2020	5.96
2020	15.98
2020	4.04
2016	25.30
2020	5.55
2020	10.39
2020	4.18
2020	6.88
2020	2.76
2020	8.15
2020	5.41
2020	6.02
2020	2.65
2020	5.28
2020	7.45
2020	15.82
2020	1.99
