No	No_20y_count	No_3y_count	sum
87	60	33	93
86	4	0	4
85	4	0	4
84	5	0	5
83	6	8	14
82	0	2	2
81	4	1	5
80	0	1	1
79	0	0	0
78	0	0	0
77	0	0	0
76	0	0	0
75	0	0	0
74	0	0	0
73	0	0	0
72	0	0	0
71	2	0	2
70	0	1	1
69	1	3	4
68	0	1	1
67	1	1	2
66	1	2	3
65	14	14	28
64	1	0	1
63	3	2	5
62	0	0	0
61	0	2	2
60	0	0	0
59	0	3	3
58	0	9	9
57	9	6	15
56	0	2	2
55	11	8	19
54	5	2	7
53	1	2	3
52	0	0	0
51	0	0	0
50	14	30	44
49	11	9	20
48	198	790	988
47	0	0	0
46	9	33	42
45	1	0	1
44	9	14	23
43	7	8	15
42	2	2	4
41	0	2	2
40	0	0	0
39	0	0	0
38	4	6	10
37	14	42	56
36	0	1	1
35	3	0	3
34	1	1	2
33	51	72	123
32	81	113	194
31	81	132	213
30	30	64	94
29	37	59	96
28	0	0	0
27	33	37	70
26	1	1	2
25	0	0	0
24	22	76	98
23	0	0	0
22	35	76	111
21	103	180	283
20	2	8	10
19	0	0	0
18	46	50	96
17	5	2	7
16	27	77	104
15	0	0	0
14	0	0	0
13	2	2	4
12	77	89	166
11	0	0	0
10	55	179	234
9	15	25	40
8	2	0	2
7	0	3	3
6	19	48	67
5	0	0	0
4	0	0	0
3	14	17	31
2	0	0	0
1	1	3	4
