Year	Ploidy	haplotype	No
2019/7/23	no	no	87
2012/8/24	no	no	87
2017/4/20	no	no	87
2019/3/28	no	no	87
2016/4/22	no	no	87
2016/4/22	no	no	87
2016/4/22	no	no	87
2017/9/11	no	no	87
2007/10/12	no	no	87
2020/7/2	no	no	87
2016/4/22	no	no	87
2014/7/10	no	no	87
2015/10/20	no	no	87
2017/11/27	no	no	87
2010/9/17	no	no	87
2019/10/18	no	no	87
2018/4/5	no	no	87
2019/12/16	no	no	87
2019/9/6	Diploid	no	87
2017/5/8	no	no	87
2012/5/25	no	no	87
2020/8/17	no	no	87
2015/7/29	Diploid	no	87
2020/2/6	Diploid	no	87
2017/10/26	no	no	87
2018/4/7	no	no	87
2018/4/7	no	no	87
2016/4/22	no	no	87
2018/11/29	no	no	87
2014/5/8	no	no	87
2019/11/14	no	no	87
2019/10/18	no	no	87
2017/11/27	no	no	87
2009/4/10	no	no	87
2009/4/10	no	no	87
2013/12/28	Diploid	no	87
2020/7/11	no	no	87
2007/4/25	no	no	87
2006/7/25	no	no	87
2016/1/25	no	no	87
2014/6/25	no	no	87
2020/6/22	no	no	87
2017/11/16	no	no	87
2017/11/16	no	no	87
2018/6/19	no	no	87
2018/10/2	no	no	87
2018/5/23	no	no	87
2018/11/9	no	no	87
2019/4/9	no	no	87
2019/11/14	no	no	87
2020/2/14	no	no	87
2017/12/26	no	no	87
2020/2/27	no	no	87
2017/1/19	no	no	87
2019/10/24	no	no	87
2018/9/24	no	no	87
2019/2/5	no	no	87
2010/7/9	no	no	87
2018/4/7	no	no	87
2018/4/7	no	no	87
2022/8/1	no	no	87
2021/2/5	Diploid	no	87
2021/1/20	no	no	87
2022/11/17	no	no	87
2021/11/22	no	no	87
2021/5/25	no	no	87
2021/5/25	no	no	87
2021/5/25	no	no	87
2023/6/22	no	no	87
2023/6/22	no	no	87
2023/6/22	no	no	87
2023/6/22	no	no	87
2023/6/22	no	no	87
2023/6/22	no	no	87
2021/2/2	no	no	87
2021/2/2	no	no	87
2021/2/2	no	no	87
2022/12/23	no	no	87
2022/12/23	no	no	87
2022/3/9	Diploid	no	87
2021/12/19	no	no	87
2022/5/13	no	no	87
2021/3/9	no	no	87
2022/2/2	no	no	87
2022/2/2	no	no	87
2022/6/30	no	no	87
2023/11/15	no	no	87
2023/11/15	no	no	87
2023/11/15	no	no	87
2023/11/15	no	no	87
2023/11/15	no	no	87
2023/8/3	no	no	87
2023/12/2	no	no	87
2018/7/12	no	no	86
2014/5/28	no	no	86
2019/12/16	no	no	86
2020/5/21	no	no	86
2020/5/13	no	no	85
2020/5/13	no	no	85
2020/5/13	no	no	85
2020/2/10	no	no	85
2019/6/19	no	no	84
2020/3/16	no	no	84
2020/3/16	no	no	84
2020/3/16	no	haplotype	84
2017/10/5	no	no	84
2020/5/14	no	no	83
2020/11/13	no	no	83
2018/1/24	no	no	83
2008/1/4	no	no	83
2019/9/4	no	no	83
2020/12/4	no	no	83
2021/8/23	no	no	83
2023/2/6	no	no	83
2023/2/6	no	no	83
2022/2/15	no	no	83
2022/2/15	no	no	83
2022/6/17	no	no	83
2023/2/3	no	no	83
2023/10/18	no	no	83
2021/11/3	Diploid	no	82
2023/9/30	Tetraploid	no	82
2016/2/5	no	no	81
2018/1/2	Diploid	no	81
2011/5/5	Diploid	no	81
2018/5/16	Diploid	no	81
2023/10/9	no	no	81
2023/6/28	no	no	80
2018/7/2	no	no	71
2018/7/2	no	no	71
2022/5/9	Diploid	no	70
2019/12/3	no	no	69
2022/9/1	Diploid	no	69
2022/9/1	no	no	69
2022/8/10	no	no	69
2022/4/18	Diploid	no	68
2016/11/21	no	no	67
2021/6/14	no	no	67
2018/1/29	no	no	66
2021/7/12	no	no	66
2021/7/20	no	no	66
2019/6/20	Diploid	no	65
2020/5/26	no	no	65
2019/2/5	Diploid	no	65
2013/5/22	Diploid	no	65
2020/1/3	Diploid	no	65
2015/6/19	Diploid	no	65
2015/6/19	Diploid	no	65
2013/5/22	Diploid	no	65
2020/1/9	no	no	65
2016/12/1	Diploid	no	65
2017/2/15	Diploid	no	65
2014/3/20	Diploid	no	65
2019/7/29	Hexaploid	no	65
2020/9/18	Diploid	no	65
2021/12/22	Diploid	no	65
2021/5/2	no	no	65
2023/6/28	Diploid	no	65
2023/3/10	no	no	65
2021/7/15	Diploid	no	65
2021/10/20	no	no	65
2021/12/14	Hexaploid	no	65
2022/9/15	Diploid	no	65
2022/4/20	Diploid	no	65
2022/7/4	Diploid	no	65
2022/7/4	no	no	65
2022/7/5	Diploid	no	65
2022/7/4	no	no	65
2023/10/24	Diploid	no	65
2013/12/20	no	no	64
2020/2/24	no	no	63
2019/12/18	Diploid	no	63
2020/5/31	Diploid	no	63
2023/7/19	no	no	63
2023/7/11	Diploid	no	63
2021/11/26	no	no	61
2021/11/26	Diploid	no	61
2021/9/2	no	no	59
2022/2/11	no	no	59
2023/1/5	Diploid	no	59
2022/8/19	Diploid	no	58
2022/7/16	Diploid	no	58
2022/6/2	Diploid	no	58
2022/3/30	Diploid	haplotype	58
2022/9/21	Diploid	no	58
2021/11/16	Diploid	no	58
2021/10/8	no	no	58
2022/4/21	Diploid	no	58
2023/10/18	Diploid	no	58
2020/8/10	no	no	57
2020/8/10	no	no	57
2020/6/10	no	no	57
2018/9/11	Diploid	no	57
2018/12/17	no	no	57
2020/4/3	no	no	57
2019/8/20	Diploid	no	57
2019/8/20	Diploid	no	57
2019/10/16	no	no	57
2023/2/21	Diploid	no	57
2021/8/17	Diploid	no	57
2021/3/1	no	no	57
2022/4/28	Diploid	no	57
2021/2/11	Diploid	no	57
2023/2/10	no	no	57
2023/6/20	Diploid	no	56
2022/7/14	Diploid	no	56
2020/8/9	no	no	55
2020/8/17	no	no	55
2015/11/25	no	no	55
2020/11/5	no	no	55
2019/9/17	Tetraploid	no	55
2016/10/18	Tetraploid	no	55
2014/2/19	Tetraploid	no	55
2020/12/23	no	no	55
2020/12/23	no	no	55
2016/1/27	Diploid	no	55
2016/7/3	no	no	55
2022/2/15	Diploid	no	55
2021/7/22	no	no	55
2022/12/30	no	no	55
2021/1/17	Tetraploid	no	55
2021/12/6	Diploid	no	55
2022/5/27	Diploid	no	55
2021/4/15	Diploid	no	55
2023/9/9	Diploid	no	55
2015/10/18	no	no	54
2020/5/4	no	no	54
2017/9/19	Diploid	no	54
2020/8/4	no	no	54
2019/6/12	no	no	54
2021/1/11	no	no	54
2022/4/14	no	no	54
2017/3/27	Octoploid	no	53
2021/6/24	Diploid	no	53
2021/11/27	Tetraploid	no	53
2020/7/27	Diploid	no	50
2017/9/13	no	no	50
2017/11/7	no	no	50
2020/4/1	no	no	50
2016/1/12	Diploid	no	50
2014/12/24	no	no	50
2018/12/14	no	no	50
2020/11/19	no	no	50
2018/4/24	no	no	50
2018/4/28	Diploid	no	50
2014/11/24	Diploid	no	50
2020/12/11	no	haplotype	50
2020/12/11	no	haplotype	50
2019/3/4	no	no	50
2021/2/2	no	no	50
2021/2/19	Diploid	no	50
2022/5/5	Diploid	haplotype	50
2022/10/3	no	no	50
2023/2/21	no	no	50
2021/4/7	Diploid	no	50
2021/9/1	Diploid	no	50
2021/12/1	Diploid	no	50
2022/11/5	no	no	50
2022/4/21	Diploid	no	50
2022/4/21	Diploid	no	50
2022/9/15	Diploid	no	50
2022/11/25	no	no	50
2022/1/18	Diploid	no	50
2021/7/27	Diploid	no	50
2022/1/19	no	no	50
2021/10/23	no	no	50
2021/8/3	Diploid	no	50
2021/10/26	no	no	50
2022/7/4	no	haplotype	50
2022/7/4	no	haplotype	50
2021/7/13	no	no	50
2022/4/7	no	no	50
2022/3/1	Diploid	no	50
2023/11/6	Diploid	no	50
2023/11/6	Tetraploid	no	50
2023/11/6	Diploid	no	50
2023/11/6	Diploid	no	50
2023/6/28	Diploid	no	50
2023/10/5	Diploid	no	50
2018/8/7	no	no	49
2020/12/4	Diploid	no	49
2019/8/1	Diploid	no	49
2017/10/5	Diploid	no	49
2018/8/7	no	no	49
2020/10/21	Diploid	no	49
2013/7/24	Diploid	no	49
2013/7/24	no	no	49
2019/10/15	Diploid	no	49
2013/8/6	Diploid	no	49
2011/5/29	Diploid	no	49
2022/11/24	no	no	49
2021/4/20	no	no	49
2022/4/28	Diploid	no	49
2021/1/22	no	no	49
2021/6/16	no	no	49
2022/9/11	no	no	49
2021/11/4	no	no	49
2021/11/4	no	no	49
2023/4/4	Diploid	no	49
2017/11/1	Diploid	no	48
2013/3/24	Diploid	no	48
2019/10/15	no	no	48
2019/9/30	Diploid	no	48
2016/10/23	Diploid	no	48
2015/11/2	Diploid	no	48
2019/11/22	Diploid	no	48
2019/11/22	Diploid	no	48
2019/5/27	Hexaploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2020/7/29	Diploid	no	48
2010/2/11	Diploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Tetraploid	no	48
2020/7/29	Diploid	no	48
2017/9/18	Diploid	no	48
2020/10/11	no	no	48
2020/12/8	no	no	48
2020/9/22	no	no	48
2019/11/25	Diploid	no	48
2020/5/18	Tetraploid	no	48
2020/2/3	Diploid	no	48
2019/7/5	Diploid	no	48
2016/10/28	Diploid	no	48
2020/11/10	Tetraploid	no	48
2020/9/8	Tetraploid	no	48
2020/7/2	no	no	48
2017/10/18	Hexaploid	no	48
2020/7/2	no	no	48
2020/7/2	no	no	48
2017/6/15	Tetraploid	no	48
2019/4/10	Diploid	no	48
2019/7/15	Diploid	no	48
2020/4/23	no	no	48
2020/2/14	Tetraploid	no	48
2014/7/9	Tetraploid	no	48
2019/5/27	Tetraploid	no	48
2020/5/8	Diploid	no	48
2020/6/1	Diploid	no	48
2017/9/4	Diploid	no	48
2017/4/26	Diploid	no	48
2015/1/12	Diploid	no	48
2012/10/17	Diploid	no	48
2020/12/8	no	no	48
2020/6/11	no	no	48
2018/1/22	no	no	48
2015/9/26	Diploid	no	48
2020/10/10	no	no	48
2018/3/14	no	no	48
2020/10/28	no	no	48
2019/5/27	Diploid	no	48
2015/11/11	Diploid	no	48
2018/1/22	Diploid	no	48
2014/11/3	Diploid	no	48
2013/3/12	Diploid	no	48
2018/9/12	Tetraploid	no	48
2020/5/3	Diploid	no	48
2014/11/3	Diploid	no	48
2018/1/22	Diploid	no	48
2014/11/3	Diploid	no	48
2020/4/29	Diploid	no	48
2018/6/29	Diploid	no	48
2020/3/20	Diploid	no	48
2015/11/2	Diploid	no	48
2018/1/22	Diploid	no	48
2016/11/27	Diploid	no	48
2014/11/3	Diploid	no	48
2018/1/22	Diploid	no	48
2014/11/3	Diploid	no	48
2020/5/3	Diploid	no	48
2018/1/22	no	no	48
2020/5/3	no	no	48
2020/7/28	Diploid	no	48
2020/4/7	Diploid	no	48
2018/1/22	Diploid	no	48
2016/11/27	Diploid	no	48
2020/5/7	Diploid	no	48
2019/11/27	Diploid	no	48
2019/5/6	Diploid	no	48
2018/12/3	Diploid	no	48
2018/12/3	Diploid	no	48
2018/1/22	Diploid	no	48
2018/1/22	Diploid	no	48
2017/5/4	Diploid	no	48
2016/9/13	Diploid	no	48
2016/9/13	Diploid	no	48
2013/2/6	Diploid	no	48
2002/4/5	Diploid	no	48
2002/4/5	Diploid	no	48
2018/12/6	no	no	48
2018/12/6	no	no	48
2019/1/25	Tetraploid	no	48
2019/1/25	Tetraploid	no	48
2018/10/1	Diploid	no	48
2013/2/24	Diploid	no	48
2020/4/19	no	no	48
2020/3/12	no	no	48
2019/5/27	Diploid	no	48
2018/10/8	no	no	48
2018/7/6	no	no	48
2017/2/8	Diploid	no	48
2016/10/13	Diploid	no	48
2012/5/13	Diploid	no	48
2012/5/13	Diploid	no	48
2020/10/5	Diploid	no	48
2020/7/21	Diploid	no	48
2018/11/19	no	no	48
2017/11/27	Diploid	no	48
2009/1/29	Diploid	no	48
2020/3/31	no	no	48
2020/4/20	Diploid	no	48
2020/8/31	Hexaploid	no	48
2018/8/17	Hexaploid	no	48
2020/3/24	Hexaploid	no	48
2014/7/18	Hexaploid	no	48
2019/4/8	Tetraploid	no	48
2017/7/6	Tetraploid	no	48
2018/5/9	Diploid	no	48
2013/3/24	Diploid	no	48
2020/10/16	no	no	48
2020/7/27	no	no	48
2020/7/27	no	no	48
2020/7/27	no	no	48
2020/7/27	no	no	48
2020/1/7	no	no	48
2019/5/31	no	no	48
2018/7/30	no	no	48
2018/7/30	no	no	48
2017/11/30	no	haplotype	48
2017/11/30	no	haplotype	48
2016/11/1	no	no	48
2009/11/20	Diploid	no	48
2015/7/7	no	no	48
2016/3/14	Tetraploid	no	48
2016/3/14	Tetraploid	no	48
2016/3/14	Tetraploid	no	48
2021/7/18	Diploid	no	48
2021/7/18	Diploid	no	48
2021/7/18	Diploid	no	48
2021/7/18	Diploid	no	48
2021/7/18	Diploid	no	48
2023/3/13	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2021/6/28	Diploid	no	48
2023/4/7	Tetraploid	no	48
2021/2/3	Tetraploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2021/5/28	Diploid	no	48
2022/8/4	Diploid	no	48
2022/8/4	Diploid	no	48
2022/8/4	Octoploid	no	48
2022/8/4	Diploid	no	48
2021/8/26	Diploid	no	48
2021/6/13	Diploid	no	48
2021/6/22	Diploid	no	48
2021/6/22	Diploid	no	48
2022/1/1	Diploid	no	48
2022/1/1	Diploid	no	48
2022/1/1	Diploid	no	48
2022/1/1	Diploid	no	48
2022/1/1	Diploid	no	48
2022/5/5	Tetraploid	no	48
2022/7/20	Hexaploid	no	48
2022/12/30	Diploid	no	48
2022/5/5	Diploid	no	48
2023/2/21	no	no	48
2023/2/23	Diploid	no	48
2023/6/3	Tetraploid	no	48
2021/4/3	Hexaploid	no	48
2021/6/2	Diploid	no	48
2021/6/7	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
2022/7/12	Diploid	no	48
