No	ContigN50	Platform	Pan
31	0.241	NGS	no
32	0.3	NGS	no
6	0.368	NGS	no
12	0.416	NGS	no
33	0.451	NGS	no
46	0.467	NGS	no
31	0.64	NGS	no
31	0.722	NGS	no
24	0.74	NGS	no
21	0.803	No_info	no
21	0.829	No_info	no
48	0.832	NGS	no
21	0.938	No_info	no
65	1.1	NGS	no
16	1.1	NGS	no
31	1.275	NGS	no
18	1.286	No_info	no
31	1.291	NGS	no
48	1.425	NGS	no
31	1.484	NGS	no
18	1.485	NGS	no
21	1.506	No_info	no
12	1.551	NGS	no
87	1.6	Other_TGS	no
48	1.708	NGS	no
21	1.742	NGS	no
26	1.757	Other_TGS	no
50	1.87	NGS	no
21	1.882	No_info	no
18	1.884	NGS	no
3	1.888	NGS	no
12	1.99	NGS	pan-genome
9	2.149	NGS	no
10	2.2	NGS	no
31	2.201	NGS	no
31	2.315	NGS	no
18	2.335	NGS	no
31	2.435	NGS	no
48	2.461	NGS	no
65	2.477	NGS	no
16	2.546	NGS	no
12	2.562	NGS	no
12	2.646	NGS	pan-genome
12	2.755	NGS	pan-genome
18	2.769	NGS	no
18	2.786	NGS	no
21	2.827	No_info	no
32	2.937	NGS	no
12	2.997	NGS	pan-genome
87	3.036	NGS	no
81	3.096	NGS	no
18	3.174	NGS	no
12	3.264	NGS	pan-genome
31	3.309	NGS	no
48	3.422	NGS	no
33	3.455	NGS	no
6	3.5	NGS	no
43	3.522	NGS	no
16	3.56	NGS	no
31	3.7	NGS	no
21	3.707	No_info	no
48	3.748	NGS	no
33	3.833	NGS	no
12	3.948	NGS	pan-genome
12	4.042	NGS	pan-genome
21	4.086	No_info	no
21	4.155	No_info	no
12	4.179	NGS	pan-genome
3	4.189	NGS	no
16	4.214	NGS	no
24	4.246	NGS	no
65	4.25	Other_TGS	no
37	4.255	NGS	no
21	4.302	No_info	no
12	4.345	NGS	pan-genome
18	4.402	NGS	no
48	4.512	NGS	no
12	4.58	NGS	pan-genome
32	4.6	NGS	no
21	4.686	NGS	no
21	4.859	No_info	no
65	4.869	NGS	no
87	4.9	NGS	no
65	4.996	NGS	no
29	5	NGS	no
18	5.046	NGS	no
29	5.078	NGS	no
10	5.1	NGS	no
21	5.159	No_info	no
12	5.28	NGS	pan-genome
12	5.407	NGS	pan-genome
12	5.444	NGS	pan-genome
12	5.547	NGS	pan-genome
10	5.649	NGS	no
31	5.719	NGS	no
12	5.786	NGS	no
32	5.806	NGS	no
31	5.837	NGS	no
48	5.94	Other_TGS	no
12	5.956	NGS	pan-genome
33	6.005	NGS	no
12	6.019	NGS	pan-genome
32	6.076	NGS	no
16	6.25	NGS	no
87	6.365	No_info	no
49	6.441	NGS	no
10	6.5	NGS	no
31	6.569	NGS	no
87	6.686	NGS	no
48	6.69	Sanger	no
65	6.758	NGS	no
12	6.879	NGS	pan-genome
21	7.12	NGS	no
21	7.206	No_info	no
87	7.213	Other_TGS	no
32	7.255	NGS	no
12	7.311	NGS	pan-genome
32	7.324	Other_TGS	no
87	7.4	NGS	no
12	7.449	NGS	pan-genome
21	7.474	No_info	no
87	7.99	NGS	no
32	8.067	NGS	no
6	8.078	NGS	no
87	8.094	NGS	no
12	8.151	NGS	pan-genome
87	8.2	NGS	no
65	8.206	NGS	no
16	8.255	NGS	no
18	8.258	No_info	no
21	8.38	No_info	no
49	8.45	NGS	no
46	8.7	NGS	no
12	8.8	NGS	no
48	9.15	NGS	no
87	9.165	NGS	no
49	9.37	NGS	no
16	9.5	Other_TGS	no
87	9.525	NGS	no
50	9.6	NGS	no
12	9.663	NGS	pan-genome
31	9.72	NGS	no
10	9.755	NGS	no
65	10.006	Other_TGS	no
21	10.1	NGS	no
86	10.124	Other_TGS	no
21	10.17	No_info	no
21	10.182	NGS	pan-genome
21	10.296	No_info	no
21	10.3	NGS	no
12	10.394	NGS	pan-genome
1	10.567	NGS	no
32	10.7	Other_TGS	no
18	10.785	Other_TGS	no
32	11	NGS	no
21	11	Sanger	no
24	11.112	NGS	no
87	11.14	NGS	no
12	11.2	NGS	no
37	11.36	Other_TGS	no
48	11.449	NGS	no
32	11.6	NGS	no
57	11.7	NGS	no
48	11.882	NGS	no
10	12	No_info	pan-genome
10	12	No_info	pan-genome
10	12	No_info	pan-genome
10	12	No_info	pan-genome
10	12	No_info	pan-genome
9	12.184	Other_TGS	no
21	12.369	NGS	pan-genome
12	12.38	Other_TGS	no
12	12.47	NGS	no
12	12.47	NGS	no
48	12.5	NGS	no
21	12.503	NGS	pan-genome
44	12.76	NGS	no
44	12.761	NGS	no
12	12.8	NGS	no
32	13	NGS	no
10	13	No_info	pan-genome
10	13	No_info	pan-genome
3	13	NGS	no
3	13	NGS	no
3	13.093	NGS	no
10	13.11	Other_TGS	no
3	13.2	NGS	no
31	13.4	NGS	no
24	13.532	NGS	no
29	13.65	NGS	no
86	13.708	NGS	no
48	14	Other_TGS	no
33	14	NGS	no
24	14.183	NGS	no
21	14.3	Other_TGS	no
10	14.4	Other_TGS	no
18	14.505	Other_TGS	no
48	14.6	NGS	no
22	14.6	NGS	no
9	14.8	NGS	no
55	14.953	NGS	no
32	15	NGS	no
10	15	No_info	pan-genome
48	15.132	Other_TGS	no
32	15.2	NGS	no
48	15.6	NGS	no
21	15.62	NGS	pan-genome
12	15.824	NGS	pan-genome
12	15.978	NGS	pan-genome
10	16	No_info	pan-genome
3	16	NGS	no
48	16.1	NGS	no
30	16.1	NGS	no
