No	ScaffoldN50	HiC	T2T
22	45573.016 	yes	yes
31	33870.278	yes	yes
12	29422.849 	yes	yes
50	1691000.00 	yes	yes
48	1040000.00 	yes	yes
65	987000.00 	yes	yes
65	966800.00 	yes	yes
67	775000.00 	yes	yes
48	759000.00 	no	yes
48	728660.00 	yes	T2T
48	717300.00 	yes	yes
48	715052.43 	yes	yes
48	713400.00 	yes	yes
65	690600.00 	yes	yes
48	640551.26 	yes	yes
48	640450.00 	yes	yes
6	610719.04 	yes	yes
48	610300.00 	yes	yes
48	576200.00 	yes	yes
48	534336.00 	yes	yes
48	534000.00 	yes	yes
44	530629.24 	yes	yes
48	527343.61 	yes	yes
48	524470.00 	yes	yes
48	522916.81 	yes	yes
48	513000.00 	yes	yes
21	481348.28 	no	yes
48	481348.00 	yes	yes
21	466240.00 	yes	yes
21	434550.00 	yes	yes
21	422710.00 	yes	yes
32	421390.00 	no	no
55	419331.00 	yes	yes
21	388820.00 	yes	yes
21	385710.00 	yes	yes
21	384560.00 	yes	yes
21	378610.00 	yes	yes
21	378300.00 	yes	yes
21	378040.00 	yes	yes
21	371030.00 	yes	yes
21	368160.00 	yes	yes
21	367240.00 	yes	yes
48	361790.00 	yes	yes
48	357400.00 	yes	yes
65	355400.00 	no	no
21	353960.00 	yes	yes
21	347960.00 	yes	yes
6	347131.00 	yes	yes
21	341530.00 	yes	yes
21	337350.00 	yes	yes
44	329410.00 	yes	yes
6	316900.00 	yes	yes
18	315093.00 	yes	yes
18	315092.67 	yes	yes
10	312200.00 	yes	yes
6	303690.00 	yes	yes
6	300401.00 	yes	yes
66	295000.00 	yes	yes
3	289780.00 	yes	yes
48	286980.00 	yes	yes
16	285770.00 	yes	yes
48	284640.00 	yes	yes
10	283000.00 	yes	yes
48	279170.00 	yes	yes
48	279000.00 	no	yes
48	278460.00 	yes	yes
29	278077.00 	no	no
48	276630.00 	yes	yes
66	269770.00 	yes	yes
48	266840.00 	yes	yes
48	265146.65 	yes	yes
48	263660.00 	yes	yes
10	262000.00 	yes	yes
48	261450.00 	yes	yes
10	260600.00 	yes	yes
10	259700.00 	yes	yes
3	258966.00 	yes	yes
48	257500.00 	yes	yes
10	253300.00 	no	yes
48	252520.00 	yes	yes
44	249600.00 	yes	yes
32	233466.76 	yes	yes
48	224040.00 	no	no
48	223600.00 	yes	yes
48	222200.00 	yes	yes
48	220550.00 	yes	yes
48	219300.00 	no	yes
48	218200.00 	no	yes
16	218100.00 	yes	yes
3	216470.00 	yes	yes
48	215061.94 	yes	yes
16	213500.00 	yes	yes
48	212800.00 	no	yes
48	212800.00 	no	yes
44	211160.00 	yes	yes
50	210067.44 	yes	yes
6	206400.00 	yes	yes
6	204560.00 	yes	yes
44	204000.00 	no	yes
48	202600.00 	no	yes
6	201000.00 	yes	yes
6	200690.00 	yes	yes
3	193870.00 	yes	yes
48	193800.00 	yes	yes
58	186500.00 	yes	yes
16	186426.00 	yes	yes
16	185360.00 	yes	yes
16	185300.00 	yes	yes
69	182000.00 	yes	yes
32	181020.00 	yes	yes
50	178198.41 	yes	yes
22	177839.00 	yes	yes
31	174381.00 	yes	yes
18	171625.09 	yes	yes
10	164000.00 	no	yes
3	160990.00 	yes	yes
48	160850.00 	no	yes
49	160000.00 	yes	yes
50	159500.00 	yes	yes
55	159400.00 	yes	yes
69	159320.00 	yes	yes
10	156090.00 	yes	yes
22	156041.81 	yes	yes
50	154880.00 	yes	yes
6	154401.48 	yes	yes
6	154400.00 	No_info	yes
18	151756.00 	yes	yes
50	150220.00 	yes	yes
48	150000.00 	yes	yes
48	148000.00 	yes	yes
48	147880.00 	no	yes
6	146700.00 	yes	yes
50	146390.00 	yes	yes
10	145000.00 	yes	yes
48	144600.00 	no	yes
48	144000.00 	no	yes
16	144000.00 	yes	yes
6	143667.40 	yes	yes
46	142997.00 	yes	yes
32	141820.00 	No_info	yes
46	141499.00 	yes	yes
10	141000.00 	yes	yes
18	140608.19 	yes	yes
48	140100.00 	no	yes
6	137880.00 	yes	yes
48	137680.00 	no	yes
21	137464.00 	yes	yes
32	136180.00 	yes	yes
48	135870.00 	no	yes
48	135800.00 	no	yes
32	134900.00 	yes	yes
22	133900.00 	yes	yes
22	132272.51 	yes	yes
22	131646.00 	yes	yes
6	131570.00 	yes	yes
65	131300.00 	no	no
48	129920.00 	no	yes
32	129800.00 	yes	yes
22	129592.00 	yes	yes
