Chrlevel	Year	ContigN50	Platform	Genome_num
no	2022/7/12	9986.26 	Other_TGS	12
yes	2023/6/8	984.17 	Other_TGS	11
yes	2022/4/8	904.36 	Other_TGS	10
yes	2020/7/29	983.00 	NGS	9
no	2022/9/13	9743.61 	HiFi	8
yes	2022/6/8	52167.30 	HiFi	7
yes	2023/10/6	9930.00 	HiFi	7
yes	2023/11/30	9749.08 	HiFi	7
yes	2021/5/28	9800.00 	Other_TGS	7
yes	2021/8/6	9552.60 	Other_TGS	6
yes	2022/11/23	9720.00 	Other_TGS	6
no	2020/5/25	9.66 	NGS	6
yes	2023/12/19	960.00 	Other_TGS	5
yes	2023/11/27	919.00 	Other_TGS	5
yes	2021/5/31	905.00 	Other_TGS	5
no	2021/2/3	56.71 	NGS	5
yes	2021/5/20	87.13 	Other_TGS	4
no	2023/10/2	5300.00 	Other_TGS	4
yes	2023/1/16	933.00 	Other_TGS	4
yes	2021/8/10	7760.00 	Other_TGS	4
yes	2022/2/3	5300.00 	Other_TGS	4
yes	2023/4/25	4364.00 	No_info	4
yes	2023/4/6	678.00 	Other_TGS	4
yes	2023/3/2	79180.00 	HiFi	4
no	2023/11/15	39172.73 	HiFi	4
no	2021/4/23	78.00 	Other_TGS	4
no	2023/7/24	45.88 	No_info	4
no	2023/3/16	16.00 	No_info	3
yes	2021/7/1	6160.00 	Other_TGS	3
yes	2023/3/22	41684.00 	NGS	3
yes	2022/12/6	7700.00 	Other_TGS	3
yes	2022/3/14	6800.00 	Other_TGS	3
yes	2023/9/7	46203.00 	HiFi	2
yes	2020/11/2	3480.00 	HiFi	2
no	2020/5/13	1800.00 	Other_TGS	2
yes	2023/7/25	44.90 	NGS	2
yes	2023/5/17	24330	HiFi	1
yes	2023/11/6	507270.00 	HiFi	1
yes	2023/8/2	430900.00 	Other_TGS	1
yes	2023/9/8	311288.00 	Other_TGS	1
yes	2023/6/15	181203.00 	Ultra-long_ONT	1
yes	2023/10/25	180560.00 	HiFi	1
yes	2023/6/3	134075.00 	HiFi	1
yes	2023/11/17	131200.00 	HiFi	1
yes	2023/9/5	129400.00 	HiFi	1
yes	2023/9/4	126500.00 	HiFi	1
yes	2022/12/1	122262.00 	HiFi	1
yes	2023/11/6	109820.00 	HiFi	1
yes	2023/3/15	105170.00 	HiFi	1
yes	2022/12/25	99000.00 	HiFi	1
yes	2021/9/6	97680.00 	Other_TGS	1
no	2021/12/14	96840.00 	Other_TGS	1
yes	2023/9/5	90000.00 	HiFi	1
yes	2023/11/25	88960.00 	HiFi	1
yes	2023/7/21	88470.00 	HiFi	1
yes	2022/6/25	87391.07 	HiFi	1
yes	2023/8/23	84830.00 	HiFi	1
yes	2023/8/28	82900.00 	HiFi	1
yes	2022/10/21	82161.02 	HiFi	1
yes	2023/11/6	81660.00 	HiFi	1
yes	2023/7/10	80390.00 	HiFi	1
yes	2023/6/8	76960.00 	HiFi	1
yes	2023/3/30	76900.00 	HiFi	1
yes	2023/5/31	75380.00 	Ultra-long_ONT	1
yes	2021/8/5	75300.00 	Other_TGS	1
yes	2022/7/18	75270.00 	Other_TGS	1
yes	2023/6/1	74900.00 	HiFi	1
yes	2022/6/25	74692.58 	HiFi	1
yes	2023/6/1	72150.00 	HiFi	1
yes	2023/9/6	71700.00 	HiFi	1
yes	2021/3/12	69600.00 	HiFi	1
yes	2022/1/1	68500.00 	HiFi	1
yes	2023/5/1	66744.00 	HiFi	1
yes	2021/10/15	65570.00 	Other_TGS	1
yes	2022/12/28	65000.00 	HiFi	1
yes	2021/8/5	64800.00 	Other_TGS	1
yes	2023/1/6	59720.00 	Other_TGS	1
yes	2023/8/2	55904.39 	HiFi	1
yes	2023/8/28	55200.00 	HiFi	1
yes	2023/8/2	54363.39 	HiFi	1
yes	2023/8/11	54055.38 	HiFi	1
yes	2021/11/26	53740.00 	Other_TGS	1
yes	2023/11/14	52460.83 	HiFi	1
yes	2023/11/3	52033.91 	HiFi	1
yes	2022/4/11	52000.00 	HiFi	1
no	2022/3/1	51340.00 	HiFi	1
yes	2023/8/29	50700.00 	Ultra-long_ONT	1
yes	2023/4/17	49984.00 	HiFi	1
yes	2023/7/3	49320.00 	Other_TGS	1
yes	2023/6/29	48976.00 	Other_TGS	1
yes	2023/10/5	48762.59 	Other_TGS	1
yes	2023/11/1	48171.71 	Other_TGS	1
yes	2022/12/28	47670.00 	HiFi	1
no	2021/11/16	46000.00 	HiFi	1
yes	2023/5/10	45710.00 	Ultra-long_ONT	1
yes	2022/10/26	44850.00 	Other_TGS	1
yes	2023/1/19	43800.00 	Ultra-long_ONT	1
yes	2022/7/27	43800.00 	HiFi	1
yes	2023/12/15	43438.76 	HiFi	1
yes	2021/4/15	42980.00 	Other_TGS	1
yes	2023/8/3	42724.82 	HiFi	1
yes	2022/5/18	42552.00 	Other_TGS	1
yes	2023/3/1	42500.00 	HiFi	1
yes	2023/11/17	42440.00 	HiFi	1
yes	2023/9/9	42376.54 	HiFi	1
yes	2023/11/15	42264.24 	HiFi	1
yes	2023/1/1	41459.00 	HiFi	1
no	2023/9/11	41362.95 	HiFi	1
yes	2022/6/16	41300.00 	Other_TGS	1
yes	2023/10/17	41060.50 	Other_TGS	1
yes	2023/4/25	40950.00 	HiFi	1
yes	2023/4/28	39940.00 	HiFi	1
yes	2022/9/12	39560.36 	Other_TGS	1
yes	2021/12/2	38861.00 	Other_TGS	1
yes	2023/7/17	38650.00 	HiFi	1
yes	2023/1/23	38260.00 	Other_TGS	1
yes	2023/11/27	38006.13 	HiFi	1
yes	2023/11/27	37578.26 	HiFi	1
yes	2022/8/31	36662.70 	Other_TGS	1
yes	2022/12/1	36020.00 	HiFi	1
yes	2023/1/13	35960.00 	HiFi	1
yes	2022/7/26	35895.00 	HiFi	1
yes	2023/2/14	35870.00 	HiFi	1
yes	2023/7/12	35672.97 	HiFi	1
yes	2021/9/30	35590.00 	HiFi	1
yes	2023/10/23	35381.85 	HiFi	1
yes	2023/7/12	34698.66 	HiFi	1
yes	2023/1/20	34340.00 	Ultra-long_ONT	1
yes	2021/6/30	33985.00 	Other_TGS	1
yes	2023/10/5	33700.00 	HiFi	1
yes	2023/2/14	33410.00 	HiFi	1
yes	2022/8/11	33270.00 	HiFi	1
yes	2023/7/23	32986.92 	HiFi	1
yes	2021/10/19	32600.00 	Other_TGS	1
yes	2023/10/5	32600.00 	HiFi	1
yes	2022/8/1	32500.00 	HiFi	1
yes	2022/9/6	32380.00 	HiFi	1
yes	2021/9/7	32091.00 	Other_TGS	1
yes	2023/8/26	32000.00 	HiFi	1
yes	2021/6/13	31930.00 	HiFi	1
yes	2023/10/23	31913.88 	HiFi	1
yes	2023/9/28	31700.00 	HiFi	1
yes	2022/10/21	31630.51 	HiFi	1
yes	2023/3/21	31600.00 	HiFi	1
yes	2023/5/25	31300.00 	Other_TGS	1
yes	2023/8/7	31111.00 	HiFi	1
yes	2023/2/21	31012.11 	Other_TGS	1
yes	2021/10/25	30980.00 	HiFi	1
yes	2023/12/15	30170.99 	HiFi	1
yes	2023/4/17	30041.00 	HiFi	1
yes	2023/6/19	30000.00 	HiFi	1
yes	2023/6/13	29800.00 	HiFi	1
yes	2021/7/16	29600.00 	Other_TGS	1
yes	2022/8/4	29398.13 	HiFi	1
yes	2022/11/18	29390.00 	Other_TGS	1
yes	2023/9/14	29343.00 	HiFi	1
yes	2023/10/12	29260.00 	Ultra-long_ONT	1
yes	2023/3/13	28970.00 	Other_TGS	1
yes	2020/5/1	28800.00 	Other_TGS	1
yes	2023/12/19	28700.00 	Other_TGS	1
yes	2023/7/25	28480.00 	HiFi	1
yes	2022/4/8	28340.00 	Other_TGS	1
yes	2022/9/23	28320.00 	HiFi	1
yes	2022/1/5	28200.00 	HiFi	1
yes	2023/6/29	28196.00 	Other_TGS	1
yes	2023/10/17	28158.78 	Other_TGS	1
yes	2022/12/16	27857.00 	Other_TGS	1
yes	2023/1/4	27510.00 	HiFi	1
yes	2021/7/20	27500.00 	Other_TGS	1
yes	2023/3/21	27480.00 	Other_TGS	1
yes	2023/4/29	26930.00 	HiFi	1
yes	2021/6/3	26800.00 	Other_TGS	1
yes	2023/1/4	26700.00 	HiFi	1
yes	2022/12/9	26560.00 	HiFi	1
yes	2023/12/13	26500.00 	Ultra-long_ONT	1
yes	2021/7/5	26500.00 	HiFi	1
yes	2022/6/13	26470.14 	HiFi	1
yes	2023/12/13	26300.00 	Ultra-long_ONT	1
yes	2022/8/1	26150.00 	HiFi	1
yes	2022/9/23	26040.00 	HiFi	1
yes	2022/3/24	26000.00 	HiFi	1
yes	2023/11/27	26000.00 	Ultra-long_ONT	1
yes	2022/6/13	25948.27 	HiFi	1
yes	2023/4/4	25935.00 	HiFi	1
yes	2023/9/14	25567.09 	HiFi	1
yes	2023/3/31	25500.00 	HiFi	1
yes	2022/10/18	25423.38 	HiFi	1
yes	2022/10/11	25400.00 	HiFi	1
yes	2023/8/4	25168.37 	HiFi	1
yes	2023/11/27	25000.00 	Ultra-long_ONT	1
yes	2022/2/3	24800.00 	HiFi	1
yes	2021/6/3	24700.00 	Other_TGS	1
yes	2023/4/25	24640.00 	Other_TGS	1
yes	2022/1/28	24630.00 	HiFi	1
yes	2023/7/11	24506.00 	HiFi	1
yes	2023/8/9	24485.00 	HiFi	1
yes	2022/6/13	24419.08 	HiFi	1
yes	2023/1/18	24390.00 	HiFi	1
yes	2021/6/17	24200.00 	Other_TGS	1
