Year	Size
3y	976.84 
3y	914.77 
3y	573.4 
20y	513.00 
3y	411.26 
3y	399.432223 
20y	353.00 
3y	2589.7 
20y	27600.00 
20y	26537.00 
3y	26454.00 
3y	25400.00 
20y	24943.00 
20y	22420.00 
3y	21600.00 
3y	21580.00 
20y	20800.00 
3y	20750.00 
20y	20650.00 
20y	20613.00 
3y	20140.00 
20y	20100.00 
20y	19600.00 
3y	19051.00 
3y	18300.00 
20y	18225.00 
3y	18220.00 
20y	18160.00 
3y	16400.00 
20y	16243.00 
3y	15782.91 
3y	15523.73 
20y	15418.00 
3y	14900.00 
3y	14752.72 
20y	14710.00 
3y	14700.00 
3y	14700.00 
3y	14600.00 
20y	14500.00 
20y	13793.00 
3y	13489.13 
20y	12952.00 
3y	12930.00 
20y	12342.00 
3y	12280.00 
3y	11900.00 
3y	11400.00 
3y	11274.00 
3y	11266.11 
3y	11171.19 
3y	10970.00 
3y	10959.05 
3y	10900.00 
3y	10760.00 
3y	10700.00 
20y	10610.00 
3y	10500.00 
3y	10477.06 
20y	10450.00 
20y	10200.00 
20y	10100.00 
3y	9870.00 
3y	9860.00 
3y	8150.00 
20y	8125.00 
3y	8070.00 
3y	8030.00 
3y	7950.00 
3y	7740.00 
3y	7684.95 
3y	7519.00 
3y	7463.30 
3y	7255.90 
3y	7200.00 
20y	7084.00 
3y	7000.00 
3y	6860.00 
3y	6800.00 
3y	6800.00 
3y	6740.00 
3y	6710.00 
3y	6700.00 
3y	6700.00 
3y	6500.00 
3y	6300.00 
3y	6270.00 
3y	6270.00 
3y	6090.00 
3y	5890.00 
3y	5800.00 
3y	5758.76 
3y	5640.00 
3y	5600.00 
3y	5340.00 
3y	5173.27 
3y	5149.72 
3y	5110.00 
3y	5052.02 
3y	5052.00 
3y	5025.14 
3y	5025.00 
3y	5000.00 
20y	4980.00 
20y	4940.00 
3y	4880.00 
3y	4850.00 
20y	4840.00 
3y	4830.00 
20y	4790.00 
20y	4660.00 
3y	4630.00 
3y	4590.00 
20y	4580.00 
3y	4520.00 
20y	4451.00 
3y	4410.00 
3y	4390.00 
3y	4357.00 
3y	4320.00 
3y	4280.00 
20y	4250.00 
3y	4246.44 
20y	4244.00 
3y	4230.00 
3y	4222.00 
3y	4200.00 
3y	4200.00 
3y	4200.00 
3y	4200.00 
3y	4190.00 
20y	4140.00 
3y	4121.00 
3y	4110.00 
20y	4070.00 
3y	4050.00 
20y	4025.00 
20y	4000.00 
3y	3990.00 
3y	3960.77 
20y	3920.00 
3y	3895.00 
20y	3890.00 
3y	3876.90 
3y	3816.00 
3y	3803.00 
3y	3800.00 
20y	3778.00 
3y	3770.00 
3y	3737.00 
20y	3735.00 
20y	3732.00 
3y	3723.85 
20y	3718.80 
3y	3718.00 
3y	3713.00 
3y	3713.00 
3y	3698.59 
20y	3688.00 
20y	3685.00 
20y	3661.00 
3y	3630.00 
20y	3600.00 
3y	3572.04 
20y	3572.00 
3y	3570.00 
3y	3520.00 
20y	3500.00 
20y	3479.00 
3y	3450.00 
3y	3400.00 
3y	3360.00 
20y	3349.00 
3y	3340.00 
3y	3339.00 
20y	3330.00 
20y	3300.00 
3y	3300.00 
20y	3260.00 
20y	3210.00 
20y	3200.00 
20y	3200.00 
3y	3200.00 
3y	3155.39 
20y	3100.00 
20y	3100.00 
3y	3100.00 
3y	3100.00 
3y	3100.00 
3y	3100.00 
3y	3070.00 
20y	3060.00 
3y	3060.00 
3y	3060.00 
3y	3058.50 
3y	3053.50 
3y	3045.06 
3y	3028.00 
20y	3020.00 
3y	3001.00 
20y	3000.00 
3y	3000.00 
3y	2994.24 
20y	2980.00 
3y	2964.14 
20y	2950.00 
20y	2940.00 
3y	2934.99 
3y	2920.00 
3y	2920.00 
