Genomesize	ContigN50	Platform
233.17	24330	HiFi
862.40	10800	Other_TGS
11171.19	507270.00	HiFi
2380.95	430900.00	Other_TGS
5758.76	311288.00	Other_TGS
2178.60	181203.00	ultra-long_ONT
2086.89	180560.00	HiFi
1990.00	134075.00	HiFi
5110.00	131200.00	HiFi
1860.00	129400.00	HiFi
1859.00	126500.00	HiFi
1588.00	122262.00	HiFi
15523.73	109820.00	HiFi
1840.00	105170.00	HiFi
3058.50	99000.00	HiFi
1196.00	97680.00	Other_TGS
26454.00	96840.00	Other_TGS
2452.00	90000.00	HiFi
2343.06	88960.00	HiFi
2030.00	88470.00	HiFi
2720.00	87391.07	HiFi
845.71	84830.00	HiFi
1070.00	82900.00	HiFi
1380.00	82161.02	HiFi
15782.91	81660.00	HiFi
2293.88	80390.00	HiFi
2080.00	76960.00	HiFi
858.70	76900.00	HiFi
410.45	75380.00	ultra-long_ONT
2454.30	75300.00	Other_TGS
10760.00	75270.00	Other_TGS
835.00	74900.00	HiFi
1728.00	74692.58	HiFi
869.69	72150.00	HiFi
1922.00	71700.00	HiFi
4200.00	69600.00	HiFi
833.00	68500.00	HiFi
1315.00	66744.00	HiFi
4590.00	65570.00	Other_TGS
1780.00	65000.00	HiFi
2558.70	64800.00	Other_TGS
773.36	59720.00	Other_TGS
5173.27	55904.39	HiFi
1130.00	55200.00	HiFi
5149.72	54363.39	HiFi
1245.12	54055.38	HiFi
2168.73	53740.00	Other_TGS
1011.76	52460.83	HiFi
1015.02	52033.91	HiFi
541.00	52000.00	HiFi
1210.00	51340.00	HiFi
1004.95	50700.00	ultra-long_ONT
453.70	49984.00	HiFi
1000.62	49320.00	Other_TGS
1512.00	48976.00	Other_TGS
1007.24	48762.59	Other_TGS
821.24	48171.71	Other_TGS
990.83	47670.00	HiFi
826.00	46000.00	HiFi
430.40	45710.00	ultra-long_ONT
653.46	44850.00	Other_TGS
733.00	43800.00	HiFi
470.35	43800.00	ultra-long_ONT
399.432223 	43438.76	HiFi
2300.00	42980.00	Other_TGS
1840.88	42724.82	HiFi
3723.85	42552.00	Other_TGS
3100.00	42500.00	HiFi
384.59	42440.00	HiFi
1154.50	42376.54	HiFi
446.30	42264.24	HiFi
1258.00	41459.00	HiFi
1671.23	41362.95	HiFi
3070.00	41300.00	Other_TGS
645.98	41060.50	Other_TGS
882.69	40950.00	HiFi
545.75	39940.00	HiFi
405.18	39560.36	Other_TGS
630.95	38861.00	Other_TGS
1259.00	38650.00	HiFi
424.59	38260.00	Other_TGS
568.27	38006.13	HiFi
564.48	37578.26	HiFi
901.90	36662.70	Other_TGS
449.30	36020.00	HiFi
494.66	35960.00	HiFi
1630.00	35895.00	HiFi
333.61	35870.00	HiFi
532.73	35672.97	HiFi
912.62	35590.00	HiFi
