Year	ContigN50	Type
3y	181203.00 	T2T
3y	180560.00 	T2T
3y	134075.00 	T2T
3y	131200.00 	T2T
20y	89000.00 	pan-genome
3y	79180.00 	pan-genome
3y	76900.00 	T2T
3y	75380.00 	T2T
3y	61620.00 	pan-genome
3y	59720.00 	T2T
3y	59600.55 	pan-genome
3y	52460.83 	T2T
3y	52355.10 	pan-genome
3y	52167.30 	pan-genome
3y	52033.91 	T2T
3y	49984.00 	haplotype
3y	49767.10 	pan-genome
3y	49004.20 	pan-genome
3y	48762.59 	T2T
3y	46617.19 	pan-genome
3y	46203.00 	pan-genome
3y	45710.00 	T2T
3y	43800.00 	T2T
3y	43438.76 	haplotype
3y	42440.00 	T2T
3y	41709.02 	pan-genome
3y	41697.49 	pan-genome
3y	41684.00 	pan-genome
3y	41588.03 	pan-genome
3y	41556.49 	pan-genome
3y	40565.69 	pan-genome
3y	40524.74 	pan-genome
3y	39624.10 	pan-genome
3y	39172.73 	pan-genome
3y	39124.67 	pan-genome
3y	38573.35 	pan-genome
3y	38260.00 	T2T
3y	38006.13 	T2T
3y	38006.13 	haplotype
3y	37764.00 	pan-genome
3y	37578.26 	T2T
3y	37578.26 	haplotype
3y	37230.94 	pan-genome
3y	37013.40 	pan-genome
3y	36907.00 	pan-genome
3y	36897.00 	pan-genome
3y	36685.13 	pan-genome
3y	36166.84 	pan-genome
3y	36143.00 	pan-genome
3y	35960.00 	T2T
3y	35870.00 	haplotype
3y	35784.40 	pan-genome
3y	35701.00 	pan-genome
3y	35672.97 	T2T
3y	35672.97 	haplotype
3y	35600.00 	pan-genome
3y	35415.00 	pan-genome
3y	34760.00 	pan-genome
3y	34698.66 	T2T
3y	34698.66 	haplotype
3y	34585.03 	pan-genome
3y	34340.00 	T2T
3y	34102.20 	pan-genome
3y	33713.26 	pan-genome
3y	33700.00 	T2T
3y	33410.00 	haplotype
3y	33272.19 	pan-genome
3y	33062.19 	pan-genome
3y	32991.99 	pan-genome
3y	32986.92 	T2T
3y	32800.00 	pan-genome
3y	32792.75 	pan-genome
3y	32600.00 	T2T
3y	32500.00 	T2T
3y	32221.27 	pan-genome
3y	32102.30 	pan-genome
3y	32091.00 	T2T
3y	32000.00 	T2T
3y	31700.00 	T2T
3y	31466.13 	pan-genome
3y	31403.50 	pan-genome
3y	31358.72 	pan-genome
3y	31210.30 	pan-genome
3y	31207.83 	pan-genome
3y	31180.46 	pan-genome
3y	31111.00 	T2T
3y	31071.07 	pan-genome
3y	30686.79 	pan-genome
3y	30680.50 	pan-genome
3y	30614.91 	pan-genome
3y	30611.71 	pan-genome
3y	30518.01 	pan-genome
3y	30494.89 	pan-genome
3y	30489.40 	pan-genome
3y	30450.03 	pan-genome
3y	30319.90 	pan-genome
3y	30254.78 	pan-genome
3y	30170.99 	haplotype
3y	30106.52 	pan-genome
3y	30041.00 	haplotype
3y	30016.31 	pan-genome
3y	30000.00 	haplotype
3y	29800.00 	T2T
3y	29472.91 	pan-genome
3y	29420.00 	pan-genome
3y	29362.30 	pan-genome
3y	29343.00 	T2T
3y	29343.00 	haplotype
3y	29260.00 	T2T
3y	28923.31 	pan-genome
3y	28817.90 	pan-genome
3y	28812.41 	pan-genome
3y	28800.00 	pan-genome
3y	28700.00 	T2T
3y	28649.12 	pan-genome
3y	28646.14 	pan-genome
3y	28631.00 	pan-genome
3y	28567.61 	pan-genome
3y	28557.25 	pan-genome
3y	28504.67 	pan-genome
3y	28397.20 	pan-genome
3y	28148.40 	pan-genome
3y	27971.00 	pan-genome
3y	27807.20 	pan-genome
3y	27804.82 	pan-genome
3y	27721.62 	pan-genome
3y	27704.00 	pan-genome
3y	27600.66 	pan-genome
3y	27583.54 	pan-genome
3y	27510.00 	haplotype
3y	27338.68 	pan-genome
3y	27254.08 	pan-genome
3y	27173.03 	pan-genome
3y	27041.62 	pan-genome
3y	26988.32 	pan-genome
3y	26931.66 	pan-genome
3y	26862.64 	pan-genome
3y	26846.10 	pan-genome
3y	26742.40 	pan-genome
3y	26729.27 	pan-genome
3y	26700.00 	haplotype
3y	26682.89 	pan-genome
3y	26629.21 	pan-genome
3y	26500.00 	T2T
3y	26500.00 	haplotype
3y	26449.81 	pan-genome
3y	26300.00 	T2T
3y	26300.00 	haplotype
3y	26150.00 	T2T
3y	26107.60 	pan-genome
3y	26001.59 	pan-genome
3y	26000.00 	haplotype
3y	26000.00 	haplotype
3y	25992.53 	pan-genome
3y	25936.60 	pan-genome
3y	25935.00 	T2T
3y	25935.00 	haplotype
3y	25917.17 	pan-genome
3y	25857.20 	pan-genome
3y	25818.03 	pan-genome
3y	25596.30 	pan-genome
3y	25582.89 	pan-genome
3y	25570.00 	pan-genome
3y	25567.09 	haplotype
3y	25531.84 	pan-genome
3y	25400.00 	T2T
3y	25342.12 	pan-genome
3y	25266.90 	pan-genome
3y	25168.37 	haplotype
3y	25106.69 	pan-genome
3y	25045.80 	pan-genome
3y	25000.00 	T2T
3y	25000.00 	haplotype
3y	24976.90 	pan-genome
3y	24904.66 	pan-genome
3y	24864.76 	pan-genome
3y	24799.34 	pan-genome
3y	24654.41 	pan-genome
3y	24537.53 	pan-genome
3y	24485.00 	T2T
3y	24475.90 	pan-genome
3y	24394.16 	pan-genome
3y	24246.65 	pan-genome
3y	24157.70 	pan-genome
3y	24140.79 	pan-genome
3y	24064.48 	pan-genome
3y	23802.94 	pan-genome
3y	23748.41 	pan-genome
3y	23716.78 	pan-genome
3y	23694.69 	pan-genome
3y	23512.33 	pan-genome
3y	23500.30 	pan-genome
3y	23418.08 	pan-genome
3y	23343.17 	pan-genome
3y	23100.00 	T2T
3y	23000.00 	pan-genome
3y	22998.54 	pan-genome
3y	22992.02 	pan-genome
3y	22900.00 	pan-genome
3y	22570.06 	pan-genome
3y	22500.00 	T2T
3y	22451.19 	pan-genome
3y	22269.74 	pan-genome
3y	22231.02 	pan-genome
3y	22190.00 	T2T
3y	21995.38 	pan-genome
3y	21500.00 	pan-genome
3y	21444.43 	haplotype
3y	21364.74 	pan-genome
3y	21337.60 	pan-genome
